Home Team,Home Score,Visitor Score,Visiting Team
Ball State Cardinals,0,62,Miami Hurricanes
Morgan State,6,21,Ohio Bobcats
Nevada Wolf Pack,0,27,Minnesota Golden Gophers
Notre Dame Fighting Irish,66,7,Purdue Boilermakers
Oregon Ducks,49,14,Oregon State Beavers
Prairie V.,0,40,Michigan State Spartans
Texas A&M Aggies,33,20,Florida Gators
Tulane Green Wave,19,34,Oklahoma Sooners
VMI,7,59,Georgia Tech Yellow Jackets
Washington State Cougars,24,19,Washington Huskies
West Virginia Mountaineers,34,38,Pittsburgh Panthers
Coastal Carolina Chanticleers,28,20,Temple Owls
UMass Minutemen,3,34,Buffalo Bulls
Boston College Eagles,21,27,Missouri Tigers
Alabama Crimson Tide,42,10,Wisconsin Badgers
Arkansas State Red Wolves,18,28,Michigan Wolverines
Central Michigan Chippewas,9,30,Illinois Fighting Illini
Cincinnati Bearcats,27,16,Miami RedHawks
Louisiana Tech Bulldogs,20,30,NC State Wolfpack
LSU Tigers,36,33,South Carolina Gamecocks
Memphis Tigers,20,12,Florida State Seminoles
North Texas Mean Green,21,66,Texas Tech Red Raiders
Oklahoma State Cowboys,45,10,Tulsa Golden Hurricane
Arizona Wildcats,7,31,Kansas State Wildcats
UNLV Rebels,23,20,Kansas Jayhawks
Arizona State Sun Devils,31,28,Texas State Bobcats
Northwestern State,10,87,South Alabama
Utah State Aggies,0,48,USC Trojans
Mississippi State Bulldogs,23,30,Arizona State Sun Devils
Oregon State Beavers,21,0,San Diego State Aztecs
Liberty Flames,30,24,New Mexico State Aggies
Boise State Broncos,34,37,Oregon Ducks
CS Sacramento,30,46,Fresno State Bulldogs
Northern Arizona,10,22,Arizona Wildcats
Texas Tech Red Raiders,16,37,Washington State Cougars
Southern Utah,27,24,UTEP Miners
Appalachian State,20,66,Clemson Tigers
LIU Sharks,0,45,TCU Horned Frogs
Houston Cougars,12,16,Oklahoma Sooners
Alcorn State,0,55,Vanderbilt Commodores
Colorado Buffaloes,10,28,Nebraska Cornhuskers
Nicholls State,21,44,LSU Tigers
Stephen F. Austin,20,35,North Texas Mean Green
Tennessee Volunteers,51,10,NC State Wolfpack
Western Michigan Broncos,0,56,Ohio State Buckeyes
Buffalo Bulls,0,38,Missouri Tigers
Cal Poly Mustangs,7,41,Stanford Cardinal
Chattanooga,21,24,Georgia State Panthers
Eastern Kentucky,0,31,Western Kentucky Hilltoppers
Georgia Southern,20,17,Nevada Wolf Pack
Kansas Jayhawks,17,23,Illinois Fighting Illini
Louisiana-Lafayette Ragin' Cajuns,34,10,Kennesaw State
Northern Colorado,17,38,Colorado State Rams
Samford Bulldogs,7,45,Florida Gators
San Jose State Spartans,17,7,Air Force Falcons
South Florida Bulls,16,42,Alabama Crimson Tide
Southeastern Louisiana,10,35,Southern Miss Golden Eagles
Texas Southern,7,69,Rice Owls
Tulsa Golden Hurricane,24,28,Arkansas State Red Wolves
UAB Blazers,6,32,Louisiana-Monroe Warhawks
Virginia Cavaliers,31,30,Wake Forest Demon Deacons
William & Mary Tribe,21,40,Coastal Carolina Chanticleers
Sam Houston State,14,45,UCF Knights
Albany,14,49,West Virginia Mountaineers
Central Michigan Chippewas,16,52,FIU Golden Panthers
East Carolina Pirates,20,14,Old Dominion
Florida A&M,9,56,Miami Hurricanes
Gardner-Webb,6,13,James Madison
South Alabama,20,27,Ohio Bobcats
Marshall Thundering Herd,14,31,Virginia Tech Hokies
Middle Tennessee St. Blue Raiders,3,52,Ole Miss Rebles
UTSA,10,49,Texas State Bobcats
Baylor Bears,12,23,Utah Utes
Cal Golden Bears,21,14,Auburn Tigers
Charlotte,20,38,North Carolina Tar Heels
Duquesne D.,0,56,Boston College Eagles
Eastern Michigan Eagles,9,30,Washington Huskies
Idaho Vandals,17,13,Wyoming Cowboys
Iowa State Cyclones,20,19,Iowa Hawkeyes
Jacksonville State,14,49,Louisville Cardinals
Michigan State Spartans,27,24,Maryland Terrapins
Northern Illinois Huskies,16,14,Notre Dame Fighting Irish
South Carolina Gamecocks,31,6,Kentucky Wildcats
South Dakota Coyotes,13,27,Wisconsin Badgers
Temple Owls,11,38,Navy Midshipmen
UMass Minutemen,23,38,Toledo Rockets
Utah Tech,14,72,UNLV Rebels
St. Francis (PA),23,17,Kent State Golden Flashes
Missouri State,34,42,Ball State Cardinals
Tennessee Tech Golden Eagles,3,48,Georgia Bulldogs
McNeese,10,52,Texas A&M Aggies
Akron Zips,17,49,Rutgers Scarlet Knights
Arkansas Razorbacks,31,39,Oklahoma State Cowboys
Army Black Knight,24,7,Florida Atlantic Owls
Bowling Green Falcons,27,34,Penn State Nittany Lions
Georgia Tech Yellow Jackets,28,31,Syracuse Orange
Kansas State Wildcats,34,27,Tulane Green Wave
Merrimack Warriors,17,63,Connecticut Huskies
Pittsburgh Panthers,28,27,Cincinnati Bearcats
Rhode Island,0,48,Minnesota Golden Gophers
Texas Longhorns,31,12,Michigan Wolverines
Troy Trojans,17,38,Memphis Tigers
Duke Blue Devils,26,20,Northwestern Wildcats
Brigham Young Cougars,18,15,SMU Mustangs
Western Illinois,3,77,Indiana Hoosiers
Boston College Eagles,28,13,Florida State Seminoles
USC Trojans,27,20,LSU Tigers
Weber State,3,35,Washington Huskies
New Mexico Lobos,39,61,Arizona Wildcats
Wyoming Cowboys,7,48,Arizona State Sun Devils
Southeast Missouri St,16,23,New Mexico State Aggies
Georgia State Panthers,12,35,Georgia Tech Yellow Jackets
Grambling State,10,40,Louisiana-Lafayette Ragin' Cajuns
Houston Christian,7,59,SMU Mustangs
James Madison,30,7,Charlotte
Lamar,27,34,Texas State Bobcats
Nicholls State,17,25,Louisiana Tech Bulldogs
Robert Morris,14,36,Utah State Aggies
Southern Illinois,13,41,Brigham Young Cougars
Texas A&M Comm.,14,45,San Diego State Aztecs
Southern Miss Golden Eagles,0,31,Kentucky Wildcats
Abilene,51,52,Texas Tech Red Raiders
Alabama A&M,3,73,Auburn Tigers
Fresno State Bulldogs,10,30,Michigan Wolverines
Idaho Vandals,14,24,Oregon Ducks
Notre Dame Fighting Irish,23,13,Texas A&M Aggies
UCLA Bruins,16,13,Hawaii Warriors
Bethune Cookman,3,48,South Florida Bulls
Central Arkansas,31,34,Arkansas State Red Wolves
Furman,0,76,Ole Miss Rebles
Nevada Wolf Pack,28,26,Troy Trojans
North Alabama,0,40,Memphis Tigers
Sam Houston State,34,14,Rice Owls
Tarleton State,3,45,Baylor Bears
Tennessee Tech Golden Eagles,25,32,Middle Tennessee St. Blue Raiders
UNLV Rebels,27,7,Houston Cougars
UT Martin Skyhawks,6,41,Kansas State Wildcats
Western Kentucky Hilltoppers,0,63,Alabama Crimson Tide
Idaho State,15,38,Oregon State Beavers
Campbell Univ.,24,41,Liberty Flames
Eastern Kentucky,7,56,Mississippi State Bulldogs
Norfolk State,3,42,East Carolina Pirates
Richmond Spiders,13,34,Virginia Cavaliers
North Texas Mean Green,52,38,South Alabama
Stony Brook,3,45,Marshall Thundering Herd
UC Davis,13,31,Cal Golden Bears
Old Dominion,19,23,South Carolina Gamecocks
Boise State Broncos,56,45,Georgia Southern
Akron Zips,6,52,Ohio State Buckeyes
Colorado State Rams,0,52,Texas Longhorns
East Ten. State,10,38,Appalachian State
Eastern Michigan Eagles,28,14,UMass Minutemen
FIU Golden Panthers,7,31,Indiana Hoosiers
Kennesaw State,16,28,UTSA
Merrimack Warriors,6,21,Air Force Falcons
Miami Hurricanes,41,17,Florida Gators
